,subjects_in_train,subjects_in_test,acc
0,"[2, 3]","[5, 6, 7, 9, 16]",0.6210191082802548
1,"[2, 4]","[5, 6, 7, 9, 16]",0.6910828025477707
2,"[2, 8]","[5, 6, 7, 9, 16]",0.6878980891719745
3,"[2, 10]","[5, 6, 7, 9, 16]",0.8343949044585988
4,"[2, 11]","[5, 6, 7, 9, 16]",0.7484076433121019
5,"[2, 13]","[5, 6, 7, 9, 16]",0.821656050955414
6,"[2, 14]","[5, 6, 7, 9, 16]",0.7484076433121019
7,"[2, 15]","[5, 6, 7, 9, 16]",0.7579617834394905
8,"[2, 17]","[5, 6, 7, 9, 16]",0.6305732484076433
9,"[3, 4]","[5, 6, 7, 9, 16]",0.5859872611464968
10,"[3, 8]","[5, 6, 7, 9, 16]",0.5382165605095541
11,"[3, 10]","[5, 6, 7, 9, 16]",0.7707006369426752
12,"[3, 11]","[5, 6, 7, 9, 16]",0.697452229299363
13,"[3, 13]","[5, 6, 7, 9, 16]",0.8343949044585988
14,"[3, 14]","[5, 6, 7, 9, 16]",0.6496815286624203
15,"[3, 15]","[5, 6, 7, 9, 16]",0.7420382165605095
16,"[3, 17]","[5, 6, 7, 9, 16]",0.3375796178343949
17,"[4, 8]","[5, 6, 7, 9, 16]",0.6687898089171974
18,"[4, 10]","[5, 6, 7, 9, 16]",0.7770700636942676
19,"[4, 11]","[5, 6, 7, 9, 16]",0.6337579617834395
20,"[4, 13]","[5, 6, 7, 9, 16]",0.8375796178343949
21,"[4, 14]","[5, 6, 7, 9, 16]",0.6050955414012739
22,"[4, 15]","[5, 6, 7, 9, 16]",0.7707006369426752
23,"[4, 17]","[5, 6, 7, 9, 16]",0.5382165605095541
24,"[8, 10]","[5, 6, 7, 9, 16]",0.8343949044585988
25,"[8, 11]","[5, 6, 7, 9, 16]",0.6910828025477707
26,"[8, 13]","[5, 6, 7, 9, 16]",0.8980891719745223
27,"[8, 14]","[5, 6, 7, 9, 16]",0.6942675159235668
28,"[8, 15]","[5, 6, 7, 9, 16]",0.802547770700637
29,"[8, 17]","[5, 6, 7, 9, 16]",0.42356687898089174
30,"[10, 11]","[5, 6, 7, 9, 16]",0.8280254777070064
31,"[10, 13]","[5, 6, 7, 9, 16]",0.8630573248407644
32,"[10, 14]","[5, 6, 7, 9, 16]",0.7961783439490446
33,"[10, 15]","[5, 6, 7, 9, 16]",0.8535031847133758
34,"[10, 17]","[5, 6, 7, 9, 16]",0.7515923566878981
35,"[11, 13]","[5, 6, 7, 9, 16]",0.7707006369426752
36,"[11, 14]","[5, 6, 7, 9, 16]",0.6847133757961783
37,"[11, 15]","[5, 6, 7, 9, 16]",0.802547770700637
38,"[11, 17]","[5, 6, 7, 9, 16]",0.6242038216560509
39,"[13, 14]","[5, 6, 7, 9, 16]",0.821656050955414
40,"[13, 15]","[5, 6, 7, 9, 16]",0.8280254777070064
41,"[13, 17]","[5, 6, 7, 9, 16]",0.7834394904458599
42,"[14, 15]","[5, 6, 7, 9, 16]",0.7834394904458599
43,"[14, 17]","[5, 6, 7, 9, 16]",0.5095541401273885
44,"[15, 17]","[5, 6, 7, 9, 16]",0.7292993630573248
