,subjects_in_train,subjects_in_test,acc
0,"[2, 3, 4, 8, 10, 11, 13]","[5, 6, 7, 9, 16]",0.8184713375796179
1,"[2, 3, 4, 8, 10, 11, 14]","[5, 6, 7, 9, 16]",0.7993630573248408
2,"[2, 3, 4, 8, 10, 11, 15]","[5, 6, 7, 9, 16]",0.802547770700637
3,"[2, 3, 4, 8, 10, 11, 17]","[5, 6, 7, 9, 16]",0.7420382165605095
4,"[2, 3, 4, 8, 10, 13, 14]","[5, 6, 7, 9, 16]",0.767515923566879
5,"[2, 3, 4, 8, 10, 13, 15]","[5, 6, 7, 9, 16]",0.8152866242038217
6,"[2, 3, 4, 8, 10, 13, 17]","[5, 6, 7, 9, 16]",0.7388535031847133
7,"[2, 3, 4, 8, 10, 14, 15]","[5, 6, 7, 9, 16]",0.7515923566878981
8,"[2, 3, 4, 8, 10, 14, 17]","[5, 6, 7, 9, 16]",0.802547770700637
9,"[2, 3, 4, 8, 10, 15, 17]","[5, 6, 7, 9, 16]",0.8248407643312102
10,"[2, 3, 4, 8, 11, 13, 14]","[5, 6, 7, 9, 16]",0.7707006369426752
11,"[2, 3, 4, 8, 11, 13, 15]","[5, 6, 7, 9, 16]",0.8152866242038217
12,"[2, 3, 4, 8, 11, 13, 17]","[5, 6, 7, 9, 16]",0.7133757961783439
13,"[2, 3, 4, 8, 11, 14, 15]","[5, 6, 7, 9, 16]",0.732484076433121
14,"[2, 3, 4, 8, 11, 14, 17]","[5, 6, 7, 9, 16]",0.7547770700636943
15,"[2, 3, 4, 8, 11, 15, 17]","[5, 6, 7, 9, 16]",0.732484076433121
16,"[2, 3, 4, 8, 13, 14, 15]","[5, 6, 7, 9, 16]",0.7547770700636943
17,"[2, 3, 4, 8, 13, 14, 17]","[5, 6, 7, 9, 16]",0.7356687898089171
18,"[2, 3, 4, 8, 13, 15, 17]","[5, 6, 7, 9, 16]",0.8089171974522293
19,"[2, 3, 4, 8, 14, 15, 17]","[5, 6, 7, 9, 16]",0.7834394904458599
20,"[2, 3, 4, 10, 11, 13, 14]","[5, 6, 7, 9, 16]",0.802547770700637
21,"[2, 3, 4, 10, 11, 13, 15]","[5, 6, 7, 9, 16]",0.821656050955414
22,"[2, 3, 4, 10, 11, 13, 17]","[5, 6, 7, 9, 16]",0.767515923566879
23,"[2, 3, 4, 10, 11, 14, 15]","[5, 6, 7, 9, 16]",0.802547770700637
24,"[2, 3, 4, 10, 11, 14, 17]","[5, 6, 7, 9, 16]",0.7643312101910829
25,"[2, 3, 4, 10, 11, 15, 17]","[5, 6, 7, 9, 16]",0.821656050955414
26,"[2, 3, 4, 10, 13, 14, 15]","[5, 6, 7, 9, 16]",0.7611464968152867
27,"[2, 3, 4, 10, 13, 14, 17]","[5, 6, 7, 9, 16]",0.7229299363057324
28,"[2, 3, 4, 10, 13, 15, 17]","[5, 6, 7, 9, 16]",0.8248407643312102
29,"[2, 3, 4, 10, 14, 15, 17]","[5, 6, 7, 9, 16]",0.8057324840764332
30,"[2, 3, 4, 11, 13, 14, 15]","[5, 6, 7, 9, 16]",0.802547770700637
31,"[2, 3, 4, 11, 13, 14, 17]","[5, 6, 7, 9, 16]",0.767515923566879
32,"[2, 3, 4, 11, 13, 15, 17]","[5, 6, 7, 9, 16]",0.7070063694267515
33,"[2, 3, 4, 11, 14, 15, 17]","[5, 6, 7, 9, 16]",0.7388535031847133
34,"[2, 3, 4, 13, 14, 15, 17]","[5, 6, 7, 9, 16]",0.7802547770700637
35,"[2, 3, 8, 10, 11, 13, 14]","[5, 6, 7, 9, 16]",0.767515923566879
36,"[2, 3, 8, 10, 11, 13, 15]","[5, 6, 7, 9, 16]",0.7579617834394905
37,"[2, 3, 8, 10, 11, 13, 17]","[5, 6, 7, 9, 16]",0.6273885350318471
38,"[2, 3, 8, 10, 11, 14, 15]","[5, 6, 7, 9, 16]",0.7611464968152867
39,"[2, 3, 8, 10, 11, 14, 17]","[5, 6, 7, 9, 16]",0.7165605095541401
40,"[2, 3, 8, 10, 11, 15, 17]","[5, 6, 7, 9, 16]",0.767515923566879
41,"[2, 3, 8, 10, 13, 14, 15]","[5, 6, 7, 9, 16]",0.7707006369426752
42,"[2, 3, 8, 10, 13, 14, 17]","[5, 6, 7, 9, 16]",0.8121019108280255
43,"[2, 3, 8, 10, 13, 15, 17]","[5, 6, 7, 9, 16]",0.7484076433121019
44,"[2, 3, 8, 10, 14, 15, 17]","[5, 6, 7, 9, 16]",0.7738853503184714
45,"[2, 3, 8, 11, 13, 14, 15]","[5, 6, 7, 9, 16]",0.7611464968152867
46,"[2, 3, 8, 11, 13, 14, 17]","[5, 6, 7, 9, 16]",0.7038216560509554
47,"[2, 3, 8, 11, 13, 15, 17]","[5, 6, 7, 9, 16]",0.7229299363057324
48,"[2, 3, 8, 11, 14, 15, 17]","[5, 6, 7, 9, 16]",0.8280254777070064
49,"[2, 3, 8, 13, 14, 15, 17]","[5, 6, 7, 9, 16]",0.7834394904458599
50,"[2, 3, 10, 11, 13, 14, 15]","[5, 6, 7, 9, 16]",0.7643312101910829
51,"[2, 3, 10, 11, 13, 14, 17]","[5, 6, 7, 9, 16]",0.7356687898089171
52,"[2, 3, 10, 11, 13, 15, 17]","[5, 6, 7, 9, 16]",0.7070063694267515
53,"[2, 3, 10, 11, 14, 15, 17]","[5, 6, 7, 9, 16]",0.7738853503184714
54,"[2, 3, 10, 13, 14, 15, 17]","[5, 6, 7, 9, 16]",0.7707006369426752
55,"[2, 3, 11, 13, 14, 15, 17]","[5, 6, 7, 9, 16]",0.7229299363057324
56,"[2, 4, 8, 10, 11, 13, 14]","[5, 6, 7, 9, 16]",0.7993630573248408
57,"[2, 4, 8, 10, 11, 13, 15]","[5, 6, 7, 9, 16]",0.8152866242038217
58,"[2, 4, 8, 10, 11, 13, 17]","[5, 6, 7, 9, 16]",0.7707006369426752
59,"[2, 4, 8, 10, 11, 14, 15]","[5, 6, 7, 9, 16]",0.8343949044585988
60,"[2, 4, 8, 10, 11, 14, 17]","[5, 6, 7, 9, 16]",0.8057324840764332
61,"[2, 4, 8, 10, 11, 15, 17]","[5, 6, 7, 9, 16]",0.8375796178343949
62,"[2, 4, 8, 10, 13, 14, 15]","[5, 6, 7, 9, 16]",0.7452229299363057
63,"[2, 4, 8, 10, 13, 14, 17]","[5, 6, 7, 9, 16]",0.7356687898089171
64,"[2, 4, 8, 10, 13, 15, 17]","[5, 6, 7, 9, 16]",0.8121019108280255
