,subjects_in_train,subjects_in_test,acc
0,"[2, 3]","[5, 6, 7, 9, 16]",0.6178343949044586
1,"[2, 4]","[5, 6, 7, 9, 16]",0.697452229299363
2,"[2, 8]","[5, 6, 7, 9, 16]",0.5796178343949044
3,"[2, 10]","[5, 6, 7, 9, 16]",0.8121019108280255
4,"[2, 11]","[5, 6, 7, 9, 16]",0.6751592356687898
5,"[2, 13]","[5, 6, 7, 9, 16]",0.7643312101910829
6,"[2, 14]","[5, 6, 7, 9, 16]",0.7515923566878981
7,"[2, 15]","[5, 6, 7, 9, 16]",0.7420382165605095
8,"[2, 17]","[5, 6, 7, 9, 16]",0.5987261146496815
9,"[3, 4]","[5, 6, 7, 9, 16]",0.4968152866242038
10,"[3, 8]","[5, 6, 7, 9, 16]",0.5254777070063694
11,"[3, 10]","[5, 6, 7, 9, 16]",0.6401273885350318
12,"[3, 11]","[5, 6, 7, 9, 16]",0.678343949044586
13,"[3, 13]","[5, 6, 7, 9, 16]",0.6560509554140127
14,"[3, 14]","[5, 6, 7, 9, 16]",0.6369426751592356
15,"[3, 15]","[5, 6, 7, 9, 16]",0.7547770700636943
16,"[3, 17]","[5, 6, 7, 9, 16]",0.29936305732484075
17,"[4, 8]","[5, 6, 7, 9, 16]",0.6337579617834395
18,"[4, 10]","[5, 6, 7, 9, 16]",0.7197452229299363
19,"[4, 11]","[5, 6, 7, 9, 16]",0.5700636942675159
20,"[4, 13]","[5, 6, 7, 9, 16]",0.7802547770700637
21,"[4, 14]","[5, 6, 7, 9, 16]",0.7452229299363057
22,"[4, 15]","[5, 6, 7, 9, 16]",0.7643312101910829
23,"[4, 17]","[5, 6, 7, 9, 16]",0.5636942675159236
24,"[8, 10]","[5, 6, 7, 9, 16]",0.7101910828025477
25,"[8, 11]","[5, 6, 7, 9, 16]",0.6146496815286624
26,"[8, 13]","[5, 6, 7, 9, 16]",0.8152866242038217
27,"[8, 14]","[5, 6, 7, 9, 16]",0.6496815286624203
28,"[8, 15]","[5, 6, 7, 9, 16]",0.7898089171974523
29,"[8, 17]","[5, 6, 7, 9, 16]",0.3853503184713376
30,"[10, 11]","[5, 6, 7, 9, 16]",0.8152866242038217
31,"[10, 13]","[5, 6, 7, 9, 16]",0.8343949044585988
32,"[10, 14]","[5, 6, 7, 9, 16]",0.7292993630573248
33,"[10, 15]","[5, 6, 7, 9, 16]",0.7738853503184714
34,"[10, 17]","[5, 6, 7, 9, 16]",0.6624203821656051
35,"[11, 13]","[5, 6, 7, 9, 16]",0.6719745222929936
36,"[11, 14]","[5, 6, 7, 9, 16]",0.7038216560509554
37,"[11, 15]","[5, 6, 7, 9, 16]",0.7707006369426752
38,"[11, 17]","[5, 6, 7, 9, 16]",0.6464968152866242
39,"[13, 14]","[5, 6, 7, 9, 16]",0.7738853503184714
40,"[13, 15]","[5, 6, 7, 9, 16]",0.7961783439490446
41,"[13, 17]","[5, 6, 7, 9, 16]",0.7133757961783439
42,"[14, 15]","[5, 6, 7, 9, 16]",0.7738853503184714
43,"[14, 17]","[5, 6, 7, 9, 16]",0.39490445859872614
44,"[15, 17]","[5, 6, 7, 9, 16]",0.7006369426751592
