,subjects_in_train,subjects_in_test,acc
0,"[2, 3, 4]","[5, 6, 7, 9, 16]",0.6687898089171974
1,"[2, 3, 8]","[5, 6, 7, 9, 16]",0.6560509554140127
2,"[2, 3, 10]","[5, 6, 7, 9, 16]",0.7707006369426752
3,"[2, 3, 11]","[5, 6, 7, 9, 16]",0.6719745222929936
4,"[2, 3, 13]","[5, 6, 7, 9, 16]",0.7547770700636943
5,"[2, 3, 14]","[5, 6, 7, 9, 16]",0.6815286624203821
6,"[2, 3, 15]","[5, 6, 7, 9, 16]",0.7547770700636943
7,"[2, 3, 17]","[5, 6, 7, 9, 16]",0.6496815286624203
8,"[2, 4, 8]","[5, 6, 7, 9, 16]",0.7707006369426752
9,"[2, 4, 10]","[5, 6, 7, 9, 16]",0.7834394904458599
10,"[2, 4, 11]","[5, 6, 7, 9, 16]",0.7197452229299363
11,"[2, 4, 13]","[5, 6, 7, 9, 16]",0.7961783439490446
12,"[2, 4, 14]","[5, 6, 7, 9, 16]",0.7738853503184714
13,"[2, 4, 15]","[5, 6, 7, 9, 16]",0.7738853503184714
14,"[2, 4, 17]","[5, 6, 7, 9, 16]",0.7292993630573248
15,"[2, 8, 10]","[5, 6, 7, 9, 16]",0.8312101910828026
16,"[2, 8, 11]","[5, 6, 7, 9, 16]",0.767515923566879
17,"[2, 8, 13]","[5, 6, 7, 9, 16]",0.8375796178343949
18,"[2, 8, 14]","[5, 6, 7, 9, 16]",0.7802547770700637
19,"[2, 8, 15]","[5, 6, 7, 9, 16]",0.7420382165605095
20,"[2, 8, 17]","[5, 6, 7, 9, 16]",0.7356687898089171
21,"[2, 10, 11]","[5, 6, 7, 9, 16]",0.7866242038216561
22,"[2, 10, 13]","[5, 6, 7, 9, 16]",0.8121019108280255
23,"[2, 10, 14]","[5, 6, 7, 9, 16]",0.7929936305732485
24,"[2, 10, 15]","[5, 6, 7, 9, 16]",0.8280254777070064
25,"[2, 10, 17]","[5, 6, 7, 9, 16]",0.7484076433121019
26,"[2, 11, 13]","[5, 6, 7, 9, 16]",0.7579617834394905
27,"[2, 11, 14]","[5, 6, 7, 9, 16]",0.6878980891719745
