,subjects_in_train,subjects_in_test,acc
0,"[2, 3]","[4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17]",0.7292418772563177
1,"[2, 4]","[3, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17]",0.542649727767695
2,"[2, 5]","[3, 4, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17]",0.8054545454545454
3,"[2, 6]","[3, 4, 5, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17]",0.8043875685557587
4,"[2, 7]","[3, 4, 5, 6, 8, 9, 10, 11, 13, 14, 15, 16, 17]",0.5630712979890311
5,"[2, 8]","[3, 4, 5, 6, 7, 9, 10, 11, 13, 14, 15, 16, 17]",0.8185117967332124
6,"[2, 9]","[3, 4, 5, 6, 7, 8, 10, 11, 13, 14, 15, 16, 17]",0.7025547445255474
7,"[2, 10]","[3, 4, 5, 6, 7, 8, 9, 11, 13, 14, 15, 16, 17]",0.7948243992606284
8,"[2, 11]","[3, 4, 5, 6, 7, 8, 9, 10, 13, 14, 15, 16, 17]",0.6599264705882353
9,"[2, 13]","[3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17]",0.4805194805194805
10,"[2, 14]","[3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 15, 16, 17]",0.7858439201451906
11,"[2, 15]","[3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 16, 17]",0.8036363636363636
12,"[2, 16]","[3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 17]",0.7476979742173112
13,"[2, 17]","[3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16]",0.6805054151624549
14,"[3, 4]","[2, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17]",0.7194899817850637
15,"[3, 5]","[2, 4, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17]",0.7427007299270073
16,"[3, 6]","[2, 4, 5, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17]",0.7229357798165138
17,"[3, 7]","[2, 4, 5, 6, 8, 9, 10, 11, 13, 14, 15, 16, 17]",0.6678899082568808
18,"[3, 8]","[2, 4, 5, 6, 7, 9, 10, 11, 13, 14, 15, 16, 17]",0.6575591985428051
19,"[3, 9]","[2, 4, 5, 6, 7, 8, 10, 11, 13, 14, 15, 16, 17]",0.4652014652014652
20,"[3, 10]","[2, 4, 5, 6, 7, 8, 9, 11, 13, 14, 15, 16, 17]",0.7179962894248608
21,"[3, 11]","[2, 4, 5, 6, 7, 8, 9, 10, 13, 14, 15, 16, 17]",0.7250922509225092
22,"[3, 13]","[2, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17]",0.7430167597765364
23,"[3, 14]","[2, 4, 5, 6, 7, 8, 9, 10, 11, 13, 15, 16, 17]",0.5573770491803278
24,"[3, 15]","[2, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 16, 17]",0.7627737226277372
25,"[3, 16]","[2, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 17]",0.7042513863216266
26,"[3, 17]","[2, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16]",0.6829710144927537
27,"[4, 5]","[2, 3, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17]",0.8073394495412844
28,"[4, 6]","[2, 3, 5, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17]",0.8062730627306273
29,"[4, 7]","[2, 3, 5, 6, 8, 9, 10, 11, 13, 14, 15, 16, 17]",0.6660516605166051
30,"[4, 8]","[2, 3, 5, 6, 7, 9, 10, 11, 13, 14, 15, 16, 17]",0.826007326007326
31,"[4, 9]","[2, 3, 5, 6, 7, 8, 10, 11, 13, 14, 15, 16, 17]",0.8158379373848987
32,"[4, 10]","[2, 3, 5, 6, 7, 8, 9, 11, 13, 14, 15, 16, 17]",0.835820895522388
33,"[4, 11]","[2, 3, 5, 6, 7, 8, 9, 10, 13, 14, 15, 16, 17]",0.5269016697588126
34,"[4, 13]","[2, 3, 5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17]",0.5617977528089888
35,"[4, 14]","[2, 3, 5, 6, 7, 8, 9, 10, 11, 13, 15, 16, 17]",0.5787545787545788
36,"[4, 15]","[2, 3, 5, 6, 7, 8, 9, 10, 11, 13, 14, 16, 17]",0.8018348623853211
37,"[4, 16]","[2, 3, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 17]",0.775092936802974
38,"[4, 17]","[2, 3, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16]",0.7923497267759563
39,"[5, 6]","[2, 3, 4, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17]",0.8059149722735675
40,"[5, 7]","[2, 3, 4, 6, 8, 9, 10, 11, 13, 14, 15, 16, 17]",0.7634011090573013
41,"[5, 8]","[2, 3, 4, 6, 7, 9, 10, 11, 13, 14, 15, 16, 17]",0.8256880733944955
42,"[5, 9]","[2, 3, 4, 6, 7, 8, 10, 11, 13, 14, 15, 16, 17]",0.7785977859778598
43,"[5, 10]","[2, 3, 4, 6, 7, 8, 9, 11, 13, 14, 15, 16, 17]",0.7420560747663552
44,"[5, 11]","[2, 3, 4, 6, 7, 8, 9, 10, 13, 14, 15, 16, 17]",0.7453531598513011
45,"[5, 13]","[2, 3, 4, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17]",0.7223264540337712
46,"[5, 14]","[2, 3, 4, 6, 7, 8, 9, 10, 11, 13, 15, 16, 17]",0.7743119266055046
47,"[5, 15]","[2, 3, 4, 6, 7, 8, 9, 10, 11, 13, 14, 16, 17]",0.7886029411764706
48,"[5, 16]","[2, 3, 4, 6, 7, 8, 9, 10, 11, 13, 14, 15, 17]",0.7299813780260708
49,"[5, 17]","[2, 3, 4, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16]",0.6788321167883211
50,"[6, 7]","[2, 3, 4, 5, 8, 9, 10, 11, 13, 14, 15, 16, 17]",0.8736059479553904
51,"[6, 8]","[2, 3, 4, 5, 7, 9, 10, 11, 13, 14, 15, 16, 17]",0.7822878228782287
52,"[6, 9]","[2, 3, 4, 5, 7, 8, 10, 11, 13, 14, 15, 16, 17]",0.8107606679035251
53,"[6, 10]","[2, 3, 4, 5, 7, 8, 9, 11, 13, 14, 15, 16, 17]",0.7518796992481203
54,"[6, 11]","[2, 3, 4, 5, 7, 8, 9, 10, 13, 14, 15, 16, 17]",0.8616822429906542
55,"[6, 13]","[2, 3, 4, 5, 7, 8, 9, 10, 11, 14, 15, 16, 17]",0.8716981132075472
56,"[6, 14]","[2, 3, 4, 5, 7, 8, 9, 10, 11, 13, 15, 16, 17]",0.8247232472324724
57,"[6, 15]","[2, 3, 4, 5, 7, 8, 9, 10, 11, 13, 14, 16, 17]",0.8207024029574861
58,"[6, 16]","[2, 3, 4, 5, 7, 8, 9, 10, 11, 13, 14, 15, 17]",0.7752808988764045
59,"[6, 17]","[2, 3, 4, 5, 7, 8, 9, 10, 11, 13, 14, 15, 16]",0.8091743119266055
60,"[7, 8]","[2, 3, 4, 5, 6, 9, 10, 11, 13, 14, 15, 16, 17]",0.7509225092250923
61,"[7, 9]","[2, 3, 4, 5, 6, 8, 10, 11, 13, 14, 15, 16, 17]",0.8256029684601113
62,"[7, 10]","[2, 3, 4, 5, 6, 8, 9, 11, 13, 14, 15, 16, 17]",0.8233082706766918
