,subjects_in_train,subjects_in_test,acc
0,"[4, 5, 7, 8, 9, 11, 17]",[2],0.8823529411764706
1,"[4, 5, 7, 8, 9, 11, 17]",[3],0.6666666666666666
2,"[4, 5, 7, 8, 9, 11, 17]",[6],0.9767441860465116
3,"[4, 5, 7, 8, 9, 11, 17]",[10],0.8571428571428571
4,"[4, 5, 7, 8, 9, 11, 17]",[13],0.9019607843137255
5,"[4, 5, 7, 8, 9, 11, 17]",[14],0.717948717948718
6,"[4, 5, 7, 8, 9, 11, 17]",[15],0.925
7,"[4, 5, 7, 8, 9, 11, 17]",[16],0.8723404255319149
8,"[4, 5, 6, 8, 9, 11, 17]",[2],0.8529411764705882
9,"[4, 5, 6, 8, 9, 11, 17]",[3],0.75
10,"[4, 5, 6, 8, 9, 11, 17]",[7],0.9069767441860465
11,"[4, 5, 6, 8, 9, 11, 17]",[10],0.8775510204081632
12,"[4, 5, 6, 8, 9, 11, 17]",[13],0.9019607843137255
13,"[4, 5, 6, 8, 9, 11, 17]",[14],0.7948717948717948
14,"[4, 5, 6, 8, 9, 11, 17]",[15],0.95
15,"[4, 5, 6, 8, 9, 11, 17]",[16],0.8297872340425532
16,"[3, 4, 5, 7, 9, 11, 17]",[2],0.9117647058823529
17,"[3, 4, 5, 7, 9, 11, 17]",[6],0.9534883720930233
18,"[3, 4, 5, 7, 9, 11, 17]",[8],0.8717948717948718
19,"[3, 4, 5, 7, 9, 11, 17]",[10],0.8571428571428571
20,"[3, 4, 5, 7, 9, 11, 17]",[13],0.9411764705882353
21,"[3, 4, 5, 7, 9, 11, 17]",[14],0.7692307692307693
22,"[3, 4, 5, 7, 9, 11, 17]",[15],0.975
23,"[3, 4, 5, 7, 9, 11, 17]",[16],0.851063829787234
24,"[6, 8, 9, 11, 13, 14, 17]",[2],0.8529411764705882
25,"[6, 8, 9, 11, 13, 14, 17]",[3],0.6944444444444444
26,"[6, 8, 9, 11, 13, 14, 17]",[4],0.9743589743589743
27,"[6, 8, 9, 11, 13, 14, 17]",[5],0.9
28,"[6, 8, 9, 11, 13, 14, 17]",[7],0.9302325581395349
29,"[6, 8, 9, 11, 13, 14, 17]",[10],0.8571428571428571
30,"[6, 8, 9, 11, 13, 14, 17]",[15],0.975
31,"[6, 8, 9, 11, 13, 14, 17]",[16],0.8085106382978723
32,"[3, 6, 8, 9, 13, 14, 17]",[2],0.8529411764705882
33,"[3, 6, 8, 9, 13, 14, 17]",[4],0.9487179487179487
34,"[3, 6, 8, 9, 13, 14, 17]",[5],0.925
35,"[3, 6, 8, 9, 13, 14, 17]",[7],0.9302325581395349
36,"[3, 6, 8, 9, 13, 14, 17]",[10],0.8571428571428571
37,"[3, 6, 8, 9, 13, 14, 17]",[11],0.6304347826086957
38,"[3, 6, 8, 9, 13, 14, 17]",[15],0.975
39,"[3, 6, 8, 9, 13, 14, 17]",[16],0.851063829787234
40,"[4, 5, 7, 8, 9, 14, 17]",[2],0.7941176470588235
41,"[4, 5, 7, 8, 9, 14, 17]",[3],0.6666666666666666
42,"[4, 5, 7, 8, 9, 14, 17]",[6],0.9767441860465116
43,"[4, 5, 7, 8, 9, 14, 17]",[10],0.8775510204081632
44,"[4, 5, 7, 8, 9, 14, 17]",[11],0.6521739130434783
45,"[4, 5, 7, 8, 9, 14, 17]",[13],0.8823529411764706
46,"[4, 5, 7, 8, 9, 14, 17]",[15],0.95
47,"[4, 5, 7, 8, 9, 14, 17]",[16],0.851063829787234
48,"[4, 6, 8, 11, 14, 16, 17]",[2],0.8823529411764706
49,"[4, 6, 8, 11, 14, 16, 17]",[3],0.7222222222222222
