,subjects_in_train,subjects_in_test,acc
0,"[2, 3, 4, 6, 7, 8, 9]",[5],0.975
1,"[2, 3, 4, 6, 7, 8, 9]",[10],0.9183673469387755
2,"[2, 3, 4, 6, 7, 8, 9]",[11],0.5652173913043478
3,"[2, 3, 4, 6, 7, 8, 9]",[13],0.9215686274509803
4,"[2, 3, 4, 6, 7, 8, 9]",[14],0.6666666666666666
5,"[2, 3, 4, 6, 7, 8, 9]",[15],1.0
6,"[2, 3, 4, 6, 7, 8, 9]",[16],0.9787234042553191
7,"[2, 3, 4, 6, 7, 8, 9]",[17],0.2777777777777778
8,"[2, 3, 8, 10, 11, 15, 16]",[4],0.9743589743589743
9,"[2, 3, 8, 10, 11, 15, 16]",[5],0.975
10,"[2, 3, 8, 10, 11, 15, 16]",[6],0.9767441860465116
11,"[2, 3, 8, 10, 11, 15, 16]",[7],0.9534883720930233
12,"[2, 3, 8, 10, 11, 15, 16]",[9],1.0
13,"[2, 3, 8, 10, 11, 15, 16]",[13],0.9019607843137255
14,"[2, 3, 8, 10, 11, 15, 16]",[14],0.8461538461538461
15,"[2, 3, 8, 10, 11, 15, 16]",[17],0.5277777777777778
16,"[2, 3, 8, 10, 11, 15, 17]",[4],0.9743589743589743
17,"[2, 3, 8, 10, 11, 15, 17]",[5],0.95
18,"[2, 3, 8, 10, 11, 15, 17]",[6],0.9534883720930233
19,"[2, 3, 8, 10, 11, 15, 17]",[7],0.9302325581395349
20,"[2, 3, 8, 10, 11, 15, 17]",[9],1.0
21,"[2, 3, 8, 10, 11, 15, 17]",[13],0.8823529411764706
22,"[2, 3, 8, 10, 11, 15, 17]",[14],0.7948717948717948
23,"[2, 3, 8, 10, 11, 15, 17]",[16],0.8936170212765957
24,"[2, 4, 5, 6, 9, 13, 15]",[3],0.7222222222222222
25,"[2, 4, 5, 6, 9, 13, 15]",[7],0.9767441860465116
26,"[2, 4, 5, 6, 9, 13, 15]",[8],0.9230769230769231
27,"[2, 4, 5, 6, 9, 13, 15]",[10],0.9387755102040817
28,"[2, 4, 5, 6, 9, 13, 15]",[11],0.6304347826086957
29,"[2, 4, 5, 6, 9, 13, 15]",[14],0.8974358974358975
30,"[2, 4, 5, 6, 9, 13, 15]",[16],0.9361702127659575
31,"[2, 4, 5, 6, 9, 13, 15]",[17],0.25
32,"[2, 4, 5, 6, 9, 14, 15]",[3],0.6666666666666666
33,"[2, 4, 5, 6, 9, 14, 15]",[7],0.9069767441860465
34,"[2, 4, 5, 6, 9, 14, 15]",[8],0.8974358974358975
35,"[2, 4, 5, 6, 9, 14, 15]",[10],0.9795918367346939
36,"[2, 4, 5, 6, 9, 14, 15]",[11],0.6521739130434783
37,"[2, 4, 5, 6, 9, 14, 15]",[13],0.9215686274509803
38,"[2, 4, 5, 6, 9, 14, 15]",[16],0.9787234042553191
39,"[2, 4, 5, 6, 9, 14, 15]",[17],0.25
40,"[2, 5, 6, 9, 13, 14, 15]",[3],0.7222222222222222
41,"[2, 5, 6, 9, 13, 14, 15]",[4],1.0
42,"[2, 5, 6, 9, 13, 14, 15]",[7],0.9767441860465116
43,"[2, 5, 6, 9, 13, 14, 15]",[8],0.9487179487179487
44,"[2, 5, 6, 9, 13, 14, 15]",[10],0.9795918367346939
45,"[2, 5, 6, 9, 13, 14, 15]",[11],0.6086956521739131
46,"[2, 5, 6, 9, 13, 14, 15]",[16],0.9787234042553191
47,"[2, 5, 6, 9, 13, 14, 15]",[17],0.3333333333333333
48,"[3, 4, 8, 10, 11, 13, 15]",[2],0.9411764705882353
49,"[3, 4, 8, 10, 11, 13, 15]",[5],0.975
50,"[3, 4, 8, 10, 11, 13, 15]",[6],0.9767441860465116
51,"[3, 4, 8, 10, 11, 13, 15]",[7],0.9534883720930233
52,"[3, 4, 8, 10, 11, 13, 15]",[9],1.0
53,"[3, 4, 8, 10, 11, 13, 15]",[14],0.8717948717948718
54,"[3, 4, 8, 10, 11, 13, 15]",[16],0.9574468085106383
