,subjects_in_train,subjects_in_test,acc
0,"[2, 3, 4, 5, 6]",[2],1.0
1,"[2, 3, 4, 5, 6]",[3],1.0
2,"[2, 3, 4, 5, 6]",[4],1.0
3,"[2, 3, 4, 5, 6]",[5],1.0
4,"[2, 3, 4, 5, 6]",[6],1.0
5,"[2, 3, 4, 5, 6]",[7],0.7441860465116279
6,"[2, 3, 4, 5, 6]",[8],0.8461538461538461
7,"[2, 3, 4, 5, 6]",[9],0.9523809523809523
8,"[2, 3, 4, 5, 6]",[10],0.8979591836734694
9,"[2, 3, 4, 5, 6]",[11],0.5869565217391305
10,"[2, 3, 4, 5, 6]",[13],0.8823529411764706
11,"[2, 3, 4, 5, 6]",[14],0.717948717948718
12,"[2, 3, 4, 5, 6]",[15],1.0
13,"[2, 3, 4, 5, 6]",[16],0.9148936170212766
14,"[2, 3, 4, 5, 6]",[17],0.19444444444444445
15,"[2, 3, 4, 5, 7]",[2],1.0
16,"[2, 3, 4, 5, 7]",[3],1.0
17,"[2, 3, 4, 5, 7]",[4],1.0
18,"[2, 3, 4, 5, 7]",[5],1.0
19,"[2, 3, 4, 5, 7]",[6],0.9767441860465116
20,"[2, 3, 4, 5, 7]",[7],1.0
21,"[2, 3, 4, 5, 7]",[8],0.8205128205128205
22,"[2, 3, 4, 5, 7]",[9],1.0
23,"[2, 3, 4, 5, 7]",[10],0.9183673469387755
24,"[2, 3, 4, 5, 7]",[11],0.5652173913043478
25,"[2, 3, 4, 5, 7]",[13],0.9411764705882353
26,"[2, 3, 4, 5, 7]",[14],0.717948717948718
27,"[2, 3, 4, 5, 7]",[15],1.0
28,"[2, 3, 4, 5, 7]",[16],0.9787234042553191
29,"[2, 3, 4, 5, 7]",[17],0.3333333333333333
30,"[2, 3, 4, 5, 8]",[2],1.0
31,"[2, 3, 4, 5, 8]",[3],1.0
32,"[2, 3, 4, 5, 8]",[4],1.0
33,"[2, 3, 4, 5, 8]",[5],1.0
34,"[2, 3, 4, 5, 8]",[6],0.9767441860465116
35,"[2, 3, 4, 5, 8]",[7],0.7674418604651163
36,"[2, 3, 4, 5, 8]",[8],1.0
37,"[2, 3, 4, 5, 8]",[9],0.9523809523809523
38,"[2, 3, 4, 5, 8]",[10],0.8979591836734694
39,"[2, 3, 4, 5, 8]",[11],0.5217391304347826
40,"[2, 3, 4, 5, 8]",[13],0.8627450980392157
41,"[2, 3, 4, 5, 8]",[14],0.6923076923076923
42,"[2, 3, 4, 5, 8]",[15],1.0
43,"[2, 3, 4, 5, 8]",[16],0.9148936170212766
44,"[2, 3, 4, 5, 8]",[17],0.19444444444444445
45,"[2, 3, 4, 5, 9]",[2],1.0
46,"[2, 3, 4, 5, 9]",[3],1.0
47,"[2, 3, 4, 5, 9]",[4],1.0
48,"[2, 3, 4, 5, 9]",[5],1.0
49,"[2, 3, 4, 5, 9]",[6],0.9767441860465116
50,"[2, 3, 4, 5, 9]",[7],0.8372093023255814
51,"[2, 3, 4, 5, 9]",[8],0.8461538461538461
52,"[2, 3, 4, 5, 9]",[9],1.0
53,"[2, 3, 4, 5, 9]",[10],0.9387755102040817
54,"[2, 3, 4, 5, 9]",[11],0.5869565217391305
55,"[2, 3, 4, 5, 9]",[13],0.8823529411764706
56,"[2, 3, 4, 5, 9]",[14],0.717948717948718
57,"[2, 3, 4, 5, 9]",[15],1.0
58,"[2, 3, 4, 5, 9]",[16],0.9148936170212766
59,"[2, 3, 4, 5, 9]",[17],0.25
60,"[2, 3, 4, 5, 10]",[2],1.0
61,"[2, 3, 4, 5, 10]",[3],1.0
62,"[2, 3, 4, 5, 10]",[4],1.0
63,"[2, 3, 4, 5, 10]",[5],1.0
64,"[2, 3, 4, 5, 10]",[6],0.9767441860465116
65,"[2, 3, 4, 5, 10]",[7],0.9069767441860465
66,"[2, 3, 4, 5, 10]",[8],0.8461538461538461
67,"[2, 3, 4, 5, 10]",[9],1.0
68,"[2, 3, 4, 5, 10]",[10],1.0
69,"[2, 3, 4, 5, 10]",[11],0.6521739130434783
70,"[2, 3, 4, 5, 10]",[13],0.9411764705882353
71,"[2, 3, 4, 5, 10]",[14],0.8461538461538461
72,"[2, 3, 4, 5, 10]",[15],1.0
73,"[2, 3, 4, 5, 10]",[16],0.9787234042553191
74,"[2, 3, 4, 5, 10]",[17],0.4722222222222222
75,"[2, 3, 4, 5, 11]",[2],1.0
76,"[2, 3, 4, 5, 11]",[3],1.0
77,"[2, 3, 4, 5, 11]",[4],1.0
78,"[2, 3, 4, 5, 11]",[5],1.0
79,"[2, 3, 4, 5, 11]",[6],0.9767441860465116
80,"[2, 3, 4, 5, 11]",[7],0.8372093023255814
81,"[2, 3, 4, 5, 11]",[8],0.8461538461538461
82,"[2, 3, 4, 5, 11]",[9],1.0
83,"[2, 3, 4, 5, 11]",[10],0.9591836734693877
84,"[2, 3, 4, 5, 11]",[11],1.0
85,"[2, 3, 4, 5, 11]",[13],0.9411764705882353
86,"[2, 3, 4, 5, 11]",[14],0.7692307692307693
87,"[2, 3, 4, 5, 11]",[15],1.0
88,"[2, 3, 4, 5, 11]",[16],0.9148936170212766
89,"[2, 3, 4, 5, 11]",[17],0.16666666666666666
90,"[2, 3, 4, 5, 13]",[2],1.0
91,"[2, 3, 4, 5, 13]",[3],1.0
92,"[2, 3, 4, 5, 13]",[4],1.0
93,"[2, 3, 4, 5, 13]",[5],1.0
94,"[2, 3, 4, 5, 13]",[6],0.9767441860465116
95,"[2, 3, 4, 5, 13]",[7],0.9069767441860465
96,"[2, 3, 4, 5, 13]",[8],0.8461538461538461
97,"[2, 3, 4, 5, 13]",[9],0.9761904761904762
98,"[2, 3, 4, 5, 13]",[10],0.9387755102040817
99,"[2, 3, 4, 5, 13]",[11],0.6086956521739131
100,"[2, 3, 4, 5, 13]",[13],1.0
101,"[2, 3, 4, 5, 13]",[14],0.8461538461538461
102,"[2, 3, 4, 5, 13]",[15],1.0
103,"[2, 3, 4, 5, 13]",[16],0.9148936170212766
104,"[2, 3, 4, 5, 13]",[17],0.19444444444444445
105,"[2, 3, 4, 5, 14]",[2],1.0
106,"[2, 3, 4, 5, 14]",[3],1.0
