,subjects_in_train,subjects_in_test,acc
0,"[2, 3, 5, 6, 13, 15, 16]",[2],1.0
1,"[2, 3, 5, 6, 13, 15, 16]",[3],1.0
2,"[2, 3, 5, 6, 13, 15, 16]",[4],1.0
3,"[2, 3, 5, 6, 13, 15, 16]",[5],1.0
4,"[2, 3, 5, 6, 13, 15, 16]",[6],1.0
5,"[2, 3, 5, 6, 13, 15, 16]",[7],0.9534883720930233
6,"[2, 3, 5, 6, 13, 15, 16]",[8],0.9230769230769231
7,"[2, 3, 5, 6, 13, 15, 16]",[9],0.9761904761904762
8,"[2, 3, 5, 6, 13, 15, 16]",[10],0.9795918367346939
9,"[2, 3, 5, 6, 13, 15, 16]",[11],0.6086956521739131
10,"[2, 3, 5, 6, 13, 15, 16]",[13],1.0
11,"[2, 3, 5, 6, 13, 15, 16]",[14],0.8717948717948718
12,"[2, 3, 5, 6, 13, 15, 16]",[15],1.0
13,"[2, 3, 5, 6, 13, 15, 16]",[16],1.0
14,"[2, 3, 5, 6, 13, 15, 16]",[17],0.4722222222222222
15,"[2, 3, 6, 7, 8, 11, 17]",[2],1.0
16,"[2, 3, 6, 7, 8, 11, 17]",[3],1.0
17,"[2, 3, 6, 7, 8, 11, 17]",[4],0.9487179487179487
18,"[2, 3, 6, 7, 8, 11, 17]",[5],0.9
19,"[2, 3, 6, 7, 8, 11, 17]",[6],1.0
20,"[2, 3, 6, 7, 8, 11, 17]",[7],1.0
21,"[2, 3, 6, 7, 8, 11, 17]",[8],1.0
22,"[2, 3, 6, 7, 8, 11, 17]",[9],0.9523809523809523
23,"[2, 3, 6, 7, 8, 11, 17]",[10],0.8163265306122449
24,"[2, 3, 6, 7, 8, 11, 17]",[11],1.0
25,"[2, 3, 6, 7, 8, 11, 17]",[13],0.9215686274509803
26,"[2, 3, 6, 7, 8, 11, 17]",[14],0.717948717948718
27,"[2, 3, 6, 7, 8, 11, 17]",[15],0.925
28,"[2, 3, 6, 7, 8, 11, 17]",[16],0.851063829787234
29,"[2, 3, 6, 7, 8, 11, 17]",[17],1.0
30,"[2, 4, 5, 6, 8, 13, 15]",[2],1.0
31,"[2, 4, 5, 6, 8, 13, 15]",[3],0.6944444444444444
32,"[2, 4, 5, 6, 8, 13, 15]",[4],1.0
33,"[2, 4, 5, 6, 8, 13, 15]",[5],1.0
34,"[2, 4, 5, 6, 8, 13, 15]",[6],1.0
35,"[2, 4, 5, 6, 8, 13, 15]",[7],0.8837209302325582
36,"[2, 4, 5, 6, 8, 13, 15]",[8],1.0
37,"[2, 4, 5, 6, 8, 13, 15]",[9],0.9761904761904762
38,"[2, 4, 5, 6, 8, 13, 15]",[10],0.9387755102040817
39,"[2, 4, 5, 6, 8, 13, 15]",[11],0.6304347826086957
40,"[2, 4, 5, 6, 8, 13, 15]",[13],1.0
41,"[2, 4, 5, 6, 8, 13, 15]",[14],0.8974358974358975
42,"[2, 4, 5, 6, 8, 13, 15]",[15],1.0
43,"[2, 4, 5, 6, 8, 13, 15]",[16],0.9148936170212766
44,"[2, 4, 5, 6, 8, 13, 15]",[17],0.25
45,"[2, 4, 5, 8, 13, 15, 16]",[2],1.0
46,"[2, 4, 5, 8, 13, 15, 16]",[3],0.6944444444444444
47,"[2, 4, 5, 8, 13, 15, 16]",[4],1.0
48,"[2, 4, 5, 8, 13, 15, 16]",[5],1.0
49,"[2, 4, 5, 8, 13, 15, 16]",[6],0.9767441860465116
50,"[2, 4, 5, 8, 13, 15, 16]",[7],0.9767441860465116
51,"[2, 4, 5, 8, 13, 15, 16]",[8],1.0
52,"[2, 4, 5, 8, 13, 15, 16]",[9],1.0
53,"[2, 4, 5, 8, 13, 15, 16]",[10],0.9591836734693877
54,"[2, 4, 5, 8, 13, 15, 16]",[11],0.6086956521739131
55,"[2, 4, 5, 8, 13, 15, 16]",[13],1.0
56,"[2, 4, 5, 8, 13, 15, 16]",[14],0.8717948717948718
57,"[2, 4, 5, 8, 13, 15, 16]",[15],1.0
58,"[2, 4, 5, 8, 13, 15, 16]",[16],1.0
59,"[2, 4, 5, 8, 13, 15, 16]",[17],0.4722222222222222
60,"[2, 4, 5, 13, 14, 15, 16]",[2],1.0
61,"[2, 4, 5, 13, 14, 15, 16]",[3],0.7222222222222222
62,"[2, 4, 5, 13, 14, 15, 16]",[4],1.0
63,"[2, 4, 5, 13, 14, 15, 16]",[5],1.0
64,"[2, 4, 5, 13, 14, 15, 16]",[6],0.9767441860465116
65,"[2, 4, 5, 13, 14, 15, 16]",[7],0.9534883720930233
66,"[2, 4, 5, 13, 14, 15, 16]",[8],0.9230769230769231
67,"[2, 4, 5, 13, 14, 15, 16]",[9],1.0
68,"[2, 4, 5, 13, 14, 15, 16]",[10],0.9795918367346939
69,"[2, 4, 5, 13, 14, 15, 16]",[11],0.6086956521739131
70,"[2, 4, 5, 13, 14, 15, 16]",[13],1.0
71,"[2, 4, 5, 13, 14, 15, 16]",[14],1.0
72,"[2, 4, 5, 13, 14, 15, 16]",[15],1.0
73,"[2, 4, 5, 13, 14, 15, 16]",[16],1.0
74,"[2, 4, 5, 13, 14, 15, 16]",[17],0.3611111111111111
75,"[2, 5, 6, 11, 13, 15, 16]",[2],1.0
76,"[2, 5, 6, 11, 13, 15, 16]",[3],0.75
77,"[2, 5, 6, 11, 13, 15, 16]",[4],1.0
78,"[2, 5, 6, 11, 13, 15, 16]",[5],1.0
79,"[2, 5, 6, 11, 13, 15, 16]",[6],1.0
80,"[2, 5, 6, 11, 13, 15, 16]",[7],0.9302325581395349
81,"[2, 5, 6, 11, 13, 15, 16]",[8],0.8717948717948718
82,"[2, 5, 6, 11, 13, 15, 16]",[9],0.9761904761904762
83,"[2, 5, 6, 11, 13, 15, 16]",[10],0.9795918367346939
84,"[2, 5, 6, 11, 13, 15, 16]",[11],1.0
85,"[2, 5, 6, 11, 13, 15, 16]",[13],1.0
86,"[2, 5, 6, 11, 13, 15, 16]",[14],0.8461538461538461
87,"[2, 5, 6, 11, 13, 15, 16]",[15],1.0
88,"[2, 5, 6, 11, 13, 15, 16]",[16],1.0
89,"[2, 5, 6, 11, 13, 15, 16]",[17],0.4166666666666667
90,"[2, 5, 7, 9, 10, 13, 16]",[2],1.0
91,"[2, 5, 7, 9, 10, 13, 16]",[3],0.7222222222222222
92,"[2, 5, 7, 9, 10, 13, 16]",[4],1.0
93,"[2, 5, 7, 9, 10, 13, 16]",[5],1.0
94,"[2, 5, 7, 9, 10, 13, 16]",[6],0.9767441860465116
95,"[2, 5, 7, 9, 10, 13, 16]",[7],1.0
96,"[2, 5, 7, 9, 10, 13, 16]",[8],0.9230769230769231
97,"[2, 5, 7, 9, 10, 13, 16]",[9],1.0
98,"[2, 5, 7, 9, 10, 13, 16]",[10],1.0
99,"[2, 5, 7, 9, 10, 13, 16]",[11],0.6521739130434783
100,"[2, 5, 7, 9, 10, 13, 16]",[13],1.0
101,"[2, 5, 7, 9, 10, 13, 16]",[14],0.8205128205128205
102,"[2, 5, 7, 9, 10, 13, 16]",[15],1.0
103,"[2, 5, 7, 9, 10, 13, 16]",[16],1.0
104,"[2, 5, 7, 9, 10, 13, 16]",[17],0.4722222222222222
105,"[2, 5, 7, 10, 13, 15, 16]",[2],1.0
106,"[2, 5, 7, 10, 13, 15, 16]",[3],0.7222222222222222
107,"[2, 5, 7, 10, 13, 15, 16]",[4],1.0
108,"[2, 5, 7, 10, 13, 15, 16]",[5],1.0
109,"[2, 5, 7, 10, 13, 15, 16]",[6],0.9767441860465116
110,"[2, 5, 7, 10, 13, 15, 16]",[7],1.0
111,"[2, 5, 7, 10, 13, 15, 16]",[8],0.9230769230769231
112,"[2, 5, 7, 10, 13, 15, 16]",[9],1.0
113,"[2, 5, 7, 10, 13, 15, 16]",[10],1.0
114,"[2, 5, 7, 10, 13, 15, 16]",[11],0.6956521739130435
115,"[2, 5, 7, 10, 13, 15, 16]",[13],1.0
116,"[2, 5, 7, 10, 13, 15, 16]",[14],0.8205128205128205
117,"[2, 5, 7, 10, 13, 15, 16]",[15],1.0
118,"[2, 5, 7, 10, 13, 15, 16]",[16],1.0
119,"[2, 5, 7, 10, 13, 15, 16]",[17],0.4722222222222222
120,"[2, 5, 9, 10, 13, 15, 16]",[2],1.0
121,"[2, 5, 9, 10, 13, 15, 16]",[3],0.7222222222222222
122,"[2, 5, 9, 10, 13, 15, 16]",[4],1.0
123,"[2, 5, 9, 10, 13, 15, 16]",[5],1.0
124,"[2, 5, 9, 10, 13, 15, 16]",[6],0.9767441860465116
125,"[2, 5, 9, 10, 13, 15, 16]",[7],0.9534883720930233
126,"[2, 5, 9, 10, 13, 15, 16]",[8],0.9487179487179487
127,"[2, 5, 9, 10, 13, 15, 16]",[9],1.0
128,"[2, 5, 9, 10, 13, 15, 16]",[10],1.0
129,"[2, 5, 9, 10, 13, 15, 16]",[11],0.7608695652173914
130,"[2, 5, 9, 10, 13, 15, 16]",[13],1.0
131,"[2, 5, 9, 10, 13, 15, 16]",[14],0.7948717948717948
132,"[2, 5, 9, 10, 13, 15, 16]",[15],1.0
133,"[2, 5, 9, 10, 13, 15, 16]",[16],1.0
134,"[2, 5, 9, 10, 13, 15, 16]",[17],0.4722222222222222
135,"[3, 4, 5, 7, 9, 11, 17]",[2],0.8529411764705882
136,"[3, 4, 5, 7, 9, 11, 17]",[3],1.0
137,"[3, 4, 5, 7, 9, 11, 17]",[4],1.0
138,"[3, 4, 5, 7, 9, 11, 17]",[5],1.0
139,"[3, 4, 5, 7, 9, 11, 17]",[6],0.9767441860465116
140,"[3, 4, 5, 7, 9, 11, 17]",[7],1.0
141,"[3, 4, 5, 7, 9, 11, 17]",[8],0.8461538461538461
142,"[3, 4, 5, 7, 9, 11, 17]",[9],1.0
143,"[3, 4, 5, 7, 9, 11, 17]",[10],0.8571428571428571
144,"[3, 4, 5, 7, 9, 11, 17]",[11],1.0
145,"[3, 4, 5, 7, 9, 11, 17]",[13],0.9607843137254902
146,"[3, 4, 5, 7, 9, 11, 17]",[14],0.7435897435897436
147,"[3, 4, 5, 7, 9, 11, 17]",[15],0.975
148,"[3, 4, 5, 7, 9, 11, 17]",[16],0.851063829787234
149,"[3, 4, 5, 7, 9, 11, 17]",[17],1.0
150,"[3, 4, 5, 8, 9, 15, 17]",[2],0.8235294117647058
151,"[3, 4, 5, 8, 9, 15, 17]",[3],1.0
152,"[3, 4, 5, 8, 9, 15, 17]",[4],1.0
153,"[3, 4, 5, 8, 9, 15, 17]",[5],1.0
154,"[3, 4, 5, 8, 9, 15, 17]",[6],0.9767441860465116
155,"[3, 4, 5, 8, 9, 15, 17]",[7],0.9069767441860465
156,"[3, 4, 5, 8, 9, 15, 17]",[8],1.0
157,"[3, 4, 5, 8, 9, 15, 17]",[9],1.0
158,"[3, 4, 5, 8, 9, 15, 17]",[10],0.8979591836734694
159,"[3, 4, 5, 8, 9, 15, 17]",[11],0.7391304347826086
160,"[3, 4, 5, 8, 9, 15, 17]",[13],0.8235294117647058
161,"[3, 4, 5, 8, 9, 15, 17]",[14],0.8205128205128205
162,"[3, 4, 5, 8, 9, 15, 17]",[15],1.0
163,"[3, 4, 5, 8, 9, 15, 17]",[16],0.8723404255319149
164,"[3, 4, 5, 8, 9, 15, 17]",[17],1.0
