,subjects_in_train,subjects_in_test,acc
0,"[10, 11, 14, 16, 17]",[2],0.9411764705882353
1,"[10, 11, 14, 16, 17]",[3],0.6666666666666666
2,"[10, 11, 14, 16, 17]",[4],0.9743589743589743
3,"[10, 11, 14, 16, 17]",[5],0.925
4,"[10, 11, 14, 16, 17]",[6],0.9767441860465116
5,"[10, 11, 14, 16, 17]",[7],0.9302325581395349
6,"[10, 11, 14, 16, 17]",[8],0.9230769230769231
7,"[10, 11, 14, 16, 17]",[9],0.9761904761904762
8,"[10, 11, 14, 16, 17]",[10],1.0
9,"[10, 11, 14, 16, 17]",[11],1.0
10,"[10, 11, 14, 16, 17]",[13],0.9803921568627451
11,"[10, 11, 14, 16, 17]",[14],1.0
12,"[10, 11, 14, 16, 17]",[15],0.975
13,"[10, 11, 14, 16, 17]",[16],1.0
14,"[10, 11, 14, 16, 17]",[17],1.0
15,"[5, 11, 14, 16, 17]",[2],0.8823529411764706
16,"[5, 11, 14, 16, 17]",[3],0.6944444444444444
17,"[5, 11, 14, 16, 17]",[4],0.9230769230769231
18,"[5, 11, 14, 16, 17]",[5],1.0
19,"[5, 11, 14, 16, 17]",[6],0.9767441860465116
20,"[5, 11, 14, 16, 17]",[7],0.9302325581395349
21,"[5, 11, 14, 16, 17]",[8],0.9230769230769231
22,"[5, 11, 14, 16, 17]",[9],0.9761904761904762
23,"[5, 11, 14, 16, 17]",[10],0.8979591836734694
24,"[5, 11, 14, 16, 17]",[11],1.0
25,"[5, 11, 14, 16, 17]",[13],0.9411764705882353
26,"[5, 11, 14, 16, 17]",[14],1.0
27,"[5, 11, 14, 16, 17]",[15],1.0
28,"[5, 11, 14, 16, 17]",[16],1.0
29,"[5, 11, 14, 16, 17]",[17],1.0
30,"[5, 10, 11, 14, 17]",[2],0.9411764705882353
31,"[5, 10, 11, 14, 17]",[3],0.7222222222222222
32,"[5, 10, 11, 14, 17]",[4],0.9487179487179487
33,"[5, 10, 11, 14, 17]",[5],1.0
34,"[5, 10, 11, 14, 17]",[6],0.9767441860465116
35,"[5, 10, 11, 14, 17]",[7],0.9302325581395349
36,"[5, 10, 11, 14, 17]",[8],0.8974358974358975
37,"[5, 10, 11, 14, 17]",[9],0.9761904761904762
38,"[5, 10, 11, 14, 17]",[10],1.0
39,"[5, 10, 11, 14, 17]",[11],1.0
40,"[5, 10, 11, 14, 17]",[13],0.9411764705882353
41,"[5, 10, 11, 14, 17]",[14],1.0
42,"[5, 10, 11, 14, 17]",[15],0.975
43,"[5, 10, 11, 14, 17]",[16],0.8085106382978723
44,"[5, 10, 11, 14, 17]",[17],1.0
45,"[10, 11, 13, 16, 17]",[2],0.9705882352941176
46,"[10, 11, 13, 16, 17]",[3],0.75
47,"[10, 11, 13, 16, 17]",[4],0.9743589743589743
48,"[10, 11, 13, 16, 17]",[5],0.925
49,"[10, 11, 13, 16, 17]",[6],0.9767441860465116
50,"[10, 11, 13, 16, 17]",[7],0.9302325581395349
51,"[10, 11, 13, 16, 17]",[8],0.8717948717948718
52,"[10, 11, 13, 16, 17]",[9],1.0
53,"[10, 11, 13, 16, 17]",[10],1.0
54,"[10, 11, 13, 16, 17]",[11],1.0
55,"[10, 11, 13, 16, 17]",[13],1.0
56,"[10, 11, 13, 16, 17]",[14],0.7948717948717948
57,"[10, 11, 13, 16, 17]",[15],1.0
58,"[10, 11, 13, 16, 17]",[16],1.0
59,"[10, 11, 13, 16, 17]",[17],1.0
60,"[3, 5, 11, 16, 17]",[2],0.8823529411764706
61,"[3, 5, 11, 16, 17]",[3],1.0
62,"[3, 5, 11, 16, 17]",[4],0.9230769230769231
63,"[3, 5, 11, 16, 17]",[5],1.0
64,"[3, 5, 11, 16, 17]",[6],0.9767441860465116
65,"[3, 5, 11, 16, 17]",[7],0.9302325581395349
66,"[3, 5, 11, 16, 17]",[8],0.8717948717948718
67,"[3, 5, 11, 16, 17]",[9],0.9761904761904762
68,"[3, 5, 11, 16, 17]",[10],0.8775510204081632
69,"[3, 5, 11, 16, 17]",[11],1.0
70,"[3, 5, 11, 16, 17]",[13],0.9411764705882353
71,"[3, 5, 11, 16, 17]",[14],0.7948717948717948
72,"[3, 5, 11, 16, 17]",[15],1.0
73,"[3, 5, 11, 16, 17]",[16],1.0
74,"[3, 5, 11, 16, 17]",[17],1.0
