,subjects_in_train,subjects_in_test,acc
0,"[2, 3, 8, 10, 11, 15, 17]",[2],1.0
1,"[2, 3, 8, 10, 11, 15, 17]",[3],1.0
2,"[2, 3, 8, 10, 11, 15, 17]",[4],0.9743589743589743
3,"[2, 3, 8, 10, 11, 15, 17]",[5],0.95
4,"[2, 3, 8, 10, 11, 15, 17]",[6],0.9534883720930233
5,"[2, 3, 8, 10, 11, 15, 17]",[7],0.9302325581395349
6,"[2, 3, 8, 10, 11, 15, 17]",[8],1.0
7,"[2, 3, 8, 10, 11, 15, 17]",[9],1.0
8,"[2, 3, 8, 10, 11, 15, 17]",[10],1.0
9,"[2, 3, 8, 10, 11, 15, 17]",[11],1.0
10,"[2, 3, 8, 10, 11, 15, 17]",[13],0.9019607843137255
11,"[2, 3, 8, 10, 11, 15, 17]",[14],0.8205128205128205
12,"[2, 3, 8, 10, 11, 15, 17]",[15],1.0
13,"[2, 3, 8, 10, 11, 15, 17]",[16],0.8723404255319149
14,"[2, 3, 8, 10, 11, 15, 17]",[17],1.0
15,"[3, 4, 8, 10, 11, 13, 15]",[2],0.9117647058823529
16,"[3, 4, 8, 10, 11, 13, 15]",[3],1.0
17,"[3, 4, 8, 10, 11, 13, 15]",[4],1.0
18,"[3, 4, 8, 10, 11, 13, 15]",[5],0.975
19,"[3, 4, 8, 10, 11, 13, 15]",[6],0.9767441860465116
20,"[3, 4, 8, 10, 11, 13, 15]",[7],0.9534883720930233
21,"[3, 4, 8, 10, 11, 13, 15]",[8],1.0
22,"[3, 4, 8, 10, 11, 13, 15]",[9],1.0
23,"[3, 4, 8, 10, 11, 13, 15]",[10],1.0
24,"[3, 4, 8, 10, 11, 13, 15]",[11],1.0
25,"[3, 4, 8, 10, 11, 13, 15]",[13],1.0
26,"[3, 4, 8, 10, 11, 13, 15]",[14],0.8461538461538461
27,"[3, 4, 8, 10, 11, 13, 15]",[15],1.0
28,"[3, 4, 8, 10, 11, 13, 15]",[16],0.9574468085106383
29,"[3, 4, 8, 10, 11, 13, 15]",[17],0.3333333333333333
30,"[3, 5, 8, 9, 11, 13, 16]",[2],0.9411764705882353
31,"[3, 5, 8, 9, 11, 13, 16]",[3],1.0
32,"[3, 5, 8, 9, 11, 13, 16]",[4],1.0
33,"[3, 5, 8, 9, 11, 13, 16]",[5],1.0
34,"[3, 5, 8, 9, 11, 13, 16]",[6],1.0
35,"[3, 5, 8, 9, 11, 13, 16]",[7],0.9534883720930233
36,"[3, 5, 8, 9, 11, 13, 16]",[8],1.0
37,"[3, 5, 8, 9, 11, 13, 16]",[9],1.0
38,"[3, 5, 8, 9, 11, 13, 16]",[10],0.9795918367346939
39,"[3, 5, 8, 9, 11, 13, 16]",[11],1.0
40,"[3, 5, 8, 9, 11, 13, 16]",[13],1.0
41,"[3, 5, 8, 9, 11, 13, 16]",[14],0.8461538461538461
42,"[3, 5, 8, 9, 11, 13, 16]",[15],1.0
43,"[3, 5, 8, 9, 11, 13, 16]",[16],1.0
44,"[3, 5, 8, 9, 11, 13, 16]",[17],0.5277777777777778
45,"[3, 5, 8, 9, 10, 11, 16]",[2],0.9117647058823529
46,"[3, 5, 8, 9, 10, 11, 16]",[3],1.0
47,"[3, 5, 8, 9, 10, 11, 16]",[4],0.9743589743589743
48,"[3, 5, 8, 9, 10, 11, 16]",[5],1.0
49,"[3, 5, 8, 9, 10, 11, 16]",[6],1.0
50,"[3, 5, 8, 9, 10, 11, 16]",[7],0.9534883720930233
51,"[3, 5, 8, 9, 10, 11, 16]",[8],1.0
52,"[3, 5, 8, 9, 10, 11, 16]",[9],1.0
53,"[3, 5, 8, 9, 10, 11, 16]",[10],1.0
54,"[3, 5, 8, 9, 10, 11, 16]",[11],1.0
55,"[3, 5, 8, 9, 10, 11, 16]",[13],0.8823529411764706
56,"[3, 5, 8, 9, 10, 11, 16]",[14],0.8205128205128205
57,"[3, 5, 8, 9, 10, 11, 16]",[15],1.0
58,"[3, 5, 8, 9, 10, 11, 16]",[16],1.0
59,"[3, 5, 8, 9, 10, 11, 16]",[17],0.4444444444444444
60,"[3, 4, 8, 10, 11, 15, 17]",[2],0.9411764705882353
61,"[3, 4, 8, 10, 11, 15, 17]",[3],1.0
62,"[3, 4, 8, 10, 11, 15, 17]",[4],1.0
63,"[3, 4, 8, 10, 11, 15, 17]",[5],0.95
64,"[3, 4, 8, 10, 11, 15, 17]",[6],0.9767441860465116
65,"[3, 4, 8, 10, 11, 15, 17]",[7],0.9534883720930233
66,"[3, 4, 8, 10, 11, 15, 17]",[8],1.0
67,"[3, 4, 8, 10, 11, 15, 17]",[9],1.0
68,"[3, 4, 8, 10, 11, 15, 17]",[10],1.0
69,"[3, 4, 8, 10, 11, 15, 17]",[11],1.0
70,"[3, 4, 8, 10, 11, 15, 17]",[13],0.9215686274509803
71,"[3, 4, 8, 10, 11, 15, 17]",[14],0.7692307692307693
72,"[3, 4, 8, 10, 11, 15, 17]",[15],1.0
73,"[3, 4, 8, 10, 11, 15, 17]",[16],0.9361702127659575
74,"[3, 4, 8, 10, 11, 15, 17]",[17],1.0
