,subjects_in_train,subjects_in_test,acc
0,"[2, 3, 4, 5, 13, 15, 16]",[6],0.9767441860465116
1,"[2, 3, 4, 5, 13, 15, 16]",[7],0.9767441860465116
2,"[2, 3, 4, 5, 13, 15, 16]",[8],0.8461538461538461
3,"[2, 3, 4, 5, 13, 15, 16]",[9],1.0
4,"[2, 3, 4, 5, 13, 15, 16]",[10],0.9591836734693877
5,"[2, 3, 4, 5, 13, 15, 16]",[11],0.6304347826086957
6,"[2, 3, 4, 5, 13, 15, 16]",[14],0.9230769230769231
7,"[2, 3, 4, 5, 13, 15, 16]",[17],0.4444444444444444
8,"[2, 3, 6, 11, 13, 14, 17]",[4],0.9487179487179487
9,"[2, 3, 6, 11, 13, 14, 17]",[5],0.925
10,"[2, 3, 6, 11, 13, 14, 17]",[7],0.9534883720930233
11,"[2, 3, 6, 11, 13, 14, 17]",[8],0.8461538461538461
12,"[2, 3, 6, 11, 13, 14, 17]",[9],0.9761904761904762
13,"[2, 3, 6, 11, 13, 14, 17]",[10],0.7959183673469388
14,"[2, 3, 6, 11, 13, 14, 17]",[15],0.975
15,"[2, 3, 6, 11, 13, 14, 17]",[16],0.7872340425531915
16,"[2, 4, 5, 6, 8, 13, 15]",[3],0.6666666666666666
17,"[2, 4, 5, 6, 8, 13, 15]",[7],0.9302325581395349
18,"[2, 4, 5, 6, 8, 13, 15]",[9],0.9761904761904762
19,"[2, 4, 5, 6, 8, 13, 15]",[10],0.9387755102040817
20,"[2, 4, 5, 6, 8, 13, 15]",[11],0.5869565217391305
21,"[2, 4, 5, 6, 8, 13, 15]",[14],0.7435897435897436
22,"[2, 4, 5, 6, 8, 13, 15]",[16],0.9148936170212766
23,"[2, 4, 5, 6, 8, 13, 15]",[17],0.19444444444444445
24,"[2, 5, 6, 7, 9, 13, 15]",[3],0.7222222222222222
25,"[2, 5, 6, 7, 9, 13, 15]",[4],1.0
26,"[2, 5, 6, 7, 9, 13, 15]",[8],0.9487179487179487
27,"[2, 5, 6, 7, 9, 13, 15]",[10],0.9387755102040817
28,"[2, 5, 6, 7, 9, 13, 15]",[11],0.6304347826086957
29,"[2, 5, 6, 7, 9, 13, 15]",[14],0.8717948717948718
30,"[2, 5, 6, 7, 9, 13, 15]",[16],0.9787234042553191
31,"[2, 5, 6, 7, 9, 13, 15]",[17],0.25
32,"[2, 5, 6, 9, 10, 13, 16]",[3],0.7222222222222222
33,"[2, 5, 6, 9, 10, 13, 16]",[4],1.0
34,"[2, 5, 6, 9, 10, 13, 16]",[7],0.9534883720930233
35,"[2, 5, 6, 9, 10, 13, 16]",[8],0.9230769230769231
36,"[2, 5, 6, 9, 10, 13, 16]",[11],0.6086956521739131
37,"[2, 5, 6, 9, 10, 13, 16]",[14],0.8461538461538461
38,"[2, 5, 6, 9, 10, 13, 16]",[15],1.0
39,"[2, 5, 6, 9, 10, 13, 16]",[17],0.4444444444444444
40,"[2, 5, 6, 9, 13, 15, 16]",[3],0.7222222222222222
41,"[2, 5, 6, 9, 13, 15, 16]",[4],1.0
42,"[2, 5, 6, 9, 13, 15, 16]",[7],0.9767441860465116
43,"[2, 5, 6, 9, 13, 15, 16]",[8],0.9230769230769231
44,"[2, 5, 6, 9, 13, 15, 16]",[10],0.9795918367346939
45,"[2, 5, 6, 9, 13, 15, 16]",[11],0.6086956521739131
46,"[2, 5, 6, 9, 13, 15, 16]",[14],0.8974358974358975
47,"[2, 5, 6, 9, 13, 15, 16]",[17],0.3888888888888889
48,"[2, 5, 6, 10, 13, 15, 16]",[3],0.7222222222222222
49,"[2, 5, 6, 10, 13, 15, 16]",[4],1.0
50,"[2, 5, 6, 10, 13, 15, 16]",[7],0.9767441860465116
51,"[2, 5, 6, 10, 13, 15, 16]",[8],0.9487179487179487
52,"[2, 5, 6, 10, 13, 15, 16]",[9],1.0
53,"[2, 5, 6, 10, 13, 15, 16]",[11],0.6521739130434783
54,"[2, 5, 6, 10, 13, 15, 16]",[14],0.8717948717948718
55,"[2, 5, 6, 10, 13, 15, 16]",[17],0.4722222222222222
56,"[2, 5, 9, 10, 13, 15, 16]",[3],0.7222222222222222
57,"[2, 5, 9, 10, 13, 15, 16]",[4],1.0
58,"[2, 5, 9, 10, 13, 15, 16]",[6],0.9767441860465116
59,"[2, 5, 9, 10, 13, 15, 16]",[7],0.9767441860465116
60,"[2, 5, 9, 10, 13, 15, 16]",[8],0.9487179487179487
