,no. of users in train,user,max_acc,mean_acc,min_acc
0,1,17,0.3153910849453322,0.2158399187269442,0.13036164844407064
1,2,16,0.6426642664266426,0.6102075554090063,0.5742574257425742
2,3,15,0.6429961089494164,0.6229244519782717,0.603112840466926
3,4,14,0.7060063224446786,0.6715563021001784,0.6385669125395153
4,5,13,0.6817102137767221,0.6541591213753204,0.6140142517814727
5,6,11,0.6970509383378016,0.6699891168741539,0.6447721179624665
6,7,10,0.7317829457364341,0.7111980965538415,0.6930232558139535
7,8,9,0.7667269439421338,0.7237391008540276,0.674502712477396
8,9,8,0.7749469214437368,0.7405772424376196,0.70276008492569
9,10,7,0.7857142857142857,0.757975797579758,0.7142857142857143
10,11,6,0.8020477815699659,0.7445003886054135,0.7098976109215017
11,12,5,0.7652582159624414,0.7181704085901548,0.6807511737089202
12,13,4,0.7851851851851852,0.734946828016135,0.674074074074074
13,14,3,0.8833333333333333,0.8165016501650165,0.7
