,subjects_in_train,subjects_in_test,acc
0,"[2, 3, 4, 8, 10, 11, 13, 14, 15]","[5, 6, 7, 9, 16]",0.8821656050955414
1,"[2, 3, 4, 8, 10, 11, 13, 14, 17]","[5, 6, 7, 9, 16]",0.8407643312101911
2,"[2, 3, 4, 8, 10, 11, 13, 15, 17]","[5, 6, 7, 9, 16]",0.8375796178343949
3,"[2, 3, 4, 8, 10, 11, 14, 15, 17]","[5, 6, 7, 9, 16]",0.8343949044585988
4,"[2, 3, 4, 8, 10, 13, 14, 15, 17]","[5, 6, 7, 9, 16]",0.8789808917197452
5,"[2, 3, 4, 8, 11, 13, 14, 15, 17]","[5, 6, 7, 9, 16]",0.856687898089172
6,"[2, 3, 4, 10, 11, 13, 14, 15, 17]","[5, 6, 7, 9, 16]",0.7993630573248408
7,"[2, 3, 8, 10, 11, 13, 14, 15, 17]","[5, 6, 7, 9, 16]",0.8789808917197452
8,"[2, 4, 8, 10, 11, 13, 14, 15, 17]","[5, 6, 7, 9, 16]",0.8757961783439491
9,"[3, 4, 8, 10, 11, 13, 14, 15, 17]","[5, 6, 7, 9, 16]",0.8726114649681529
