,subjects_in_train,subjects_in_test,acc
0,[2],"[5, 6, 7, 9, 16]",0.6464968152866242
1,[3],"[5, 6, 7, 9, 16]",0.3375796178343949
2,[4],"[5, 6, 7, 9, 16]",0.6210191082802548
3,[8],"[5, 6, 7, 9, 16]",0.6050955414012739
4,[10],"[5, 6, 7, 9, 16]",0.8407643312101911
5,[11],"[5, 6, 7, 9, 16]",0.7101910828025477
6,[13],"[5, 6, 7, 9, 16]",0.8471337579617835
7,[14],"[5, 6, 7, 9, 16]",0.7133757961783439
8,[15],"[5, 6, 7, 9, 16]",0.767515923566879
9,[17],"[5, 6, 7, 9, 16]",0.2229299363057325
10,"[2, 3]","[5, 6, 7, 9, 16]",0.6050955414012739
11,"[2, 4]","[5, 6, 7, 9, 16]",0.6942675159235668
12,"[2, 8]","[5, 6, 7, 9, 16]",0.6847133757961783
13,"[2, 10]","[5, 6, 7, 9, 16]",0.8248407643312102
14,"[2, 11]","[5, 6, 7, 9, 16]",0.7515923566878981
15,"[2, 13]","[5, 6, 7, 9, 16]",0.8471337579617835
16,"[2, 14]","[5, 6, 7, 9, 16]",0.732484076433121
17,"[2, 15]","[5, 6, 7, 9, 16]",0.7547770700636943
18,"[2, 17]","[5, 6, 7, 9, 16]",0.6273885350318471
19,"[3, 4]","[5, 6, 7, 9, 16]",0.5828025477707006
20,"[3, 8]","[5, 6, 7, 9, 16]",0.5414012738853503
21,"[3, 10]","[5, 6, 7, 9, 16]",0.7834394904458599
22,"[3, 11]","[5, 6, 7, 9, 16]",0.6624203821656051
23,"[3, 13]","[5, 6, 7, 9, 16]",0.8152866242038217
24,"[3, 14]","[5, 6, 7, 9, 16]",0.6751592356687898
25,"[3, 15]","[5, 6, 7, 9, 16]",0.7484076433121019
26,"[3, 17]","[5, 6, 7, 9, 16]",0.31210191082802546
27,"[4, 8]","[5, 6, 7, 9, 16]",0.6751592356687898
28,"[4, 10]","[5, 6, 7, 9, 16]",0.7611464968152867
29,"[4, 11]","[5, 6, 7, 9, 16]",0.6210191082802548
30,"[4, 13]","[5, 6, 7, 9, 16]",0.8089171974522293
31,"[4, 14]","[5, 6, 7, 9, 16]",0.6019108280254777
32,"[4, 15]","[5, 6, 7, 9, 16]",0.8057324840764332
33,"[4, 17]","[5, 6, 7, 9, 16]",0.5700636942675159
34,"[8, 10]","[5, 6, 7, 9, 16]",0.8535031847133758
35,"[8, 11]","[5, 6, 7, 9, 16]",0.7197452229299363
36,"[8, 13]","[5, 6, 7, 9, 16]",0.9012738853503185
