,subjects_in_train,subjects_in_test,acc
0,"[2, 3, 4]","[5, 6, 7, 9, 16]",0.5923566878980892
1,"[2, 3, 8]","[5, 6, 7, 9, 16]",0.5573248407643312
2,"[2, 3, 10]","[5, 6, 7, 9, 16]",0.732484076433121
3,"[2, 3, 11]","[5, 6, 7, 9, 16]",0.60828025477707
4,"[2, 3, 13]","[5, 6, 7, 9, 16]",0.6624203821656051
5,"[2, 3, 14]","[5, 6, 7, 9, 16]",0.6910828025477707
6,"[2, 3, 15]","[5, 6, 7, 9, 16]",0.7070063694267515
7,"[2, 3, 17]","[5, 6, 7, 9, 16]",0.6656050955414012
8,"[2, 4, 8]","[5, 6, 7, 9, 16]",0.7547770700636943
9,"[2, 4, 10]","[5, 6, 7, 9, 16]",0.7101910828025477
10,"[2, 4, 11]","[5, 6, 7, 9, 16]",0.6624203821656051
11,"[2, 4, 13]","[5, 6, 7, 9, 16]",0.7133757961783439
12,"[2, 4, 14]","[5, 6, 7, 9, 16]",0.7611464968152867
13,"[2, 4, 15]","[5, 6, 7, 9, 16]",0.732484076433121
14,"[2, 4, 17]","[5, 6, 7, 9, 16]",0.6910828025477707
15,"[2, 8, 10]","[5, 6, 7, 9, 16]",0.7802547770700637
16,"[2, 8, 11]","[5, 6, 7, 9, 16]",0.6592356687898089
17,"[2, 8, 13]","[5, 6, 7, 9, 16]",0.7898089171974523
18,"[2, 8, 14]","[5, 6, 7, 9, 16]",0.7070063694267515
19,"[2, 8, 15]","[5, 6, 7, 9, 16]",0.6847133757961783
20,"[2, 8, 17]","[5, 6, 7, 9, 16]",0.5286624203821656
21,"[2, 10, 11]","[5, 6, 7, 9, 16]",0.7420382165605095
22,"[2, 10, 13]","[5, 6, 7, 9, 16]",0.8152866242038217
23,"[2, 10, 14]","[5, 6, 7, 9, 16]",0.7070063694267515
24,"[2, 10, 15]","[5, 6, 7, 9, 16]",0.7547770700636943
25,"[2, 10, 17]","[5, 6, 7, 9, 16]",0.678343949044586
26,"[2, 11, 13]","[5, 6, 7, 9, 16]",0.7420382165605095
27,"[2, 11, 14]","[5, 6, 7, 9, 16]",0.6560509554140127
28,"[2, 11, 15]","[5, 6, 7, 9, 16]",0.7133757961783439
29,"[2, 11, 17]","[5, 6, 7, 9, 16]",0.6687898089171974
30,"[2, 13, 14]","[5, 6, 7, 9, 16]",0.7579617834394905
31,"[2, 13, 15]","[5, 6, 7, 9, 16]",0.7165605095541401
32,"[2, 13, 17]","[5, 6, 7, 9, 16]",0.6910828025477707
33,"[2, 14, 15]","[5, 6, 7, 9, 16]",0.7452229299363057
34,"[2, 14, 17]","[5, 6, 7, 9, 16]",0.697452229299363
35,"[2, 15, 17]","[5, 6, 7, 9, 16]",0.6656050955414012
36,"[3, 4, 8]","[5, 6, 7, 9, 16]",0.5031847133757962
37,"[3, 4, 10]","[5, 6, 7, 9, 16]",0.7515923566878981
38,"[3, 4, 11]","[5, 6, 7, 9, 16]",0.5987261146496815
39,"[3, 4, 13]","[5, 6, 7, 9, 16]",0.7866242038216561
40,"[3, 4, 14]","[5, 6, 7, 9, 16]",0.732484076433121
41,"[3, 4, 15]","[5, 6, 7, 9, 16]",0.767515923566879
42,"[3, 4, 17]","[5, 6, 7, 9, 16]",0.44904458598726116
43,"[3, 8, 10]","[5, 6, 7, 9, 16]",0.7292993630573248
44,"[3, 8, 11]","[5, 6, 7, 9, 16]",0.6401273885350318
45,"[3, 8, 13]","[5, 6, 7, 9, 16]",0.732484076433121
46,"[3, 8, 14]","[5, 6, 7, 9, 16]",0.5700636942675159
47,"[3, 8, 15]","[5, 6, 7, 9, 16]",0.6178343949044586
48,"[3, 8, 17]","[5, 6, 7, 9, 16]",0.4681528662420382
49,"[3, 10, 11]","[5, 6, 7, 9, 16]",0.697452229299363
50,"[3, 10, 13]","[5, 6, 7, 9, 16]",0.7038216560509554
51,"[3, 10, 14]","[5, 6, 7, 9, 16]",0.7261146496815286
52,"[3, 10, 15]","[5, 6, 7, 9, 16]",0.7006369426751592
53,"[3, 10, 17]","[5, 6, 7, 9, 16]",0.6464968152866242
54,"[3, 11, 13]","[5, 6, 7, 9, 16]",0.7484076433121019
55,"[3, 11, 14]","[5, 6, 7, 9, 16]",0.6815286624203821
56,"[3, 11, 15]","[5, 6, 7, 9, 16]",0.6878980891719745
57,"[3, 11, 17]","[5, 6, 7, 9, 16]",0.6847133757961783
58,"[3, 13, 14]","[5, 6, 7, 9, 16]",0.7579617834394905
59,"[3, 13, 15]","[5, 6, 7, 9, 16]",0.7197452229299363
60,"[3, 13, 17]","[5, 6, 7, 9, 16]",0.7133757961783439
61,"[3, 14, 15]","[5, 6, 7, 9, 16]",0.7229299363057324
62,"[3, 14, 17]","[5, 6, 7, 9, 16]",0.5095541401273885
63,"[3, 15, 17]","[5, 6, 7, 9, 16]",0.5859872611464968
64,"[4, 8, 10]","[5, 6, 7, 9, 16]",0.7261146496815286
65,"[4, 8, 11]","[5, 6, 7, 9, 16]",0.7133757961783439
66,"[4, 8, 13]","[5, 6, 7, 9, 16]",0.7101910828025477
67,"[4, 8, 14]","[5, 6, 7, 9, 16]",0.6910828025477707
68,"[4, 8, 15]","[5, 6, 7, 9, 16]",0.7738853503184714
69,"[4, 8, 17]","[5, 6, 7, 9, 16]",0.5509554140127388
