,subjects_in_train,subjects_in_test,acc
0,"[2, 3, 4]","[5, 6, 7, 9, 16]",0.5955414012738853
1,"[2, 3, 8]","[5, 6, 7, 9, 16]",0.6019108280254777
2,"[2, 3, 10]","[5, 6, 7, 9, 16]",0.7484076433121019
3,"[2, 3, 11]","[5, 6, 7, 9, 16]",0.6210191082802548
4,"[2, 3, 13]","[5, 6, 7, 9, 16]",0.732484076433121
5,"[2, 3, 14]","[5, 6, 7, 9, 16]",0.6687898089171974
6,"[2, 3, 15]","[5, 6, 7, 9, 16]",0.7133757961783439
7,"[2, 3, 17]","[5, 6, 7, 9, 16]",0.5764331210191083
8,"[2, 4, 8]","[5, 6, 7, 9, 16]",0.7229299363057324
9,"[2, 4, 10]","[5, 6, 7, 9, 16]",0.7738853503184714
10,"[2, 4, 11]","[5, 6, 7, 9, 16]",0.6656050955414012
11,"[2, 4, 13]","[5, 6, 7, 9, 16]",0.8152866242038217
12,"[2, 4, 14]","[5, 6, 7, 9, 16]",0.7898089171974523
13,"[2, 4, 15]","[5, 6, 7, 9, 16]",0.767515923566879
14,"[2, 4, 17]","[5, 6, 7, 9, 16]",0.6878980891719745
15,"[2, 8, 10]","[5, 6, 7, 9, 16]",0.802547770700637
16,"[2, 8, 11]","[5, 6, 7, 9, 16]",0.6910828025477707
17,"[2, 8, 13]","[5, 6, 7, 9, 16]",0.8471337579617835
18,"[2, 8, 14]","[5, 6, 7, 9, 16]",0.7515923566878981
19,"[2, 8, 15]","[5, 6, 7, 9, 16]",0.7834394904458599
20,"[2, 8, 17]","[5, 6, 7, 9, 16]",0.6337579617834395
21,"[2, 10, 11]","[5, 6, 7, 9, 16]",0.8280254777070064
22,"[2, 10, 13]","[5, 6, 7, 9, 16]",0.8121019108280255
23,"[2, 10, 14]","[5, 6, 7, 9, 16]",0.7388535031847133
24,"[2, 10, 15]","[5, 6, 7, 9, 16]",0.7611464968152867
25,"[2, 10, 17]","[5, 6, 7, 9, 16]",0.7707006369426752
26,"[2, 11, 13]","[5, 6, 7, 9, 16]",0.7420382165605095
27,"[2, 11, 14]","[5, 6, 7, 9, 16]",0.7165605095541401
28,"[2, 11, 15]","[5, 6, 7, 9, 16]",0.7643312101910829
29,"[2, 11, 17]","[5, 6, 7, 9, 16]",0.7070063694267515
30,"[2, 13, 14]","[5, 6, 7, 9, 16]",0.7707006369426752
31,"[2, 13, 15]","[5, 6, 7, 9, 16]",0.802547770700637
32,"[2, 13, 17]","[5, 6, 7, 9, 16]",0.7165605095541401
33,"[2, 14, 15]","[5, 6, 7, 9, 16]",0.7579617834394905
34,"[2, 14, 17]","[5, 6, 7, 9, 16]",0.6815286624203821
35,"[2, 15, 17]","[5, 6, 7, 9, 16]",0.6910828025477707
36,"[3, 4, 8]","[5, 6, 7, 9, 16]",0.5382165605095541
37,"[3, 4, 10]","[5, 6, 7, 9, 16]",0.6878980891719745
38,"[3, 4, 11]","[5, 6, 7, 9, 16]",0.5859872611464968
39,"[3, 4, 13]","[5, 6, 7, 9, 16]",0.767515923566879
40,"[3, 4, 14]","[5, 6, 7, 9, 16]",0.6496815286624203
41,"[3, 4, 15]","[5, 6, 7, 9, 16]",0.7452229299363057
42,"[3, 4, 17]","[5, 6, 7, 9, 16]",0.4745222929936306
43,"[3, 8, 10]","[5, 6, 7, 9, 16]",0.7579617834394905
44,"[3, 8, 11]","[5, 6, 7, 9, 16]",0.6847133757961783
45,"[3, 8, 13]","[5, 6, 7, 9, 16]",0.7643312101910829
46,"[3, 8, 14]","[5, 6, 7, 9, 16]",0.5955414012738853
47,"[3, 8, 15]","[5, 6, 7, 9, 16]",0.7197452229299363
48,"[3, 8, 17]","[5, 6, 7, 9, 16]",0.42038216560509556
49,"[3, 10, 11]","[5, 6, 7, 9, 16]",0.7420382165605095
50,"[3, 10, 13]","[5, 6, 7, 9, 16]",0.802547770700637
51,"[3, 10, 14]","[5, 6, 7, 9, 16]",0.697452229299363
52,"[3, 10, 15]","[5, 6, 7, 9, 16]",0.7802547770700637
53,"[3, 10, 17]","[5, 6, 7, 9, 16]",0.6178343949044586
54,"[3, 11, 13]","[5, 6, 7, 9, 16]",0.7611464968152867
55,"[3, 11, 14]","[5, 6, 7, 9, 16]",0.6687898089171974
56,"[3, 11, 15]","[5, 6, 7, 9, 16]",0.8184713375796179
57,"[3, 11, 17]","[5, 6, 7, 9, 16]",0.6560509554140127
58,"[3, 13, 14]","[5, 6, 7, 9, 16]",0.7038216560509554
59,"[3, 13, 15]","[5, 6, 7, 9, 16]",0.8089171974522293
60,"[3, 13, 17]","[5, 6, 7, 9, 16]",0.6592356687898089
61,"[3, 14, 15]","[5, 6, 7, 9, 16]",0.7802547770700637
62,"[3, 14, 17]","[5, 6, 7, 9, 16]",0.45222929936305734
63,"[3, 15, 17]","[5, 6, 7, 9, 16]",0.6751592356687898
64,"[4, 8, 10]","[5, 6, 7, 9, 16]",0.7770700636942676
65,"[4, 8, 11]","[5, 6, 7, 9, 16]",0.6019108280254777
66,"[4, 8, 13]","[5, 6, 7, 9, 16]",0.8248407643312102
67,"[4, 8, 14]","[5, 6, 7, 9, 16]",0.6624203821656051
68,"[4, 8, 15]","[5, 6, 7, 9, 16]",0.8184713375796179
69,"[4, 8, 17]","[5, 6, 7, 9, 16]",0.5987261146496815
70,"[4, 10, 11]","[5, 6, 7, 9, 16]",0.7547770700636943
71,"[4, 10, 13]","[5, 6, 7, 9, 16]",0.7961783439490446
72,"[4, 10, 14]","[5, 6, 7, 9, 16]",0.7388535031847133
73,"[4, 10, 15]","[5, 6, 7, 9, 16]",0.8184713375796179
74,"[4, 10, 17]","[5, 6, 7, 9, 16]",0.7484076433121019
75,"[4, 11, 13]","[5, 6, 7, 9, 16]",0.6496815286624203
76,"[4, 11, 14]","[5, 6, 7, 9, 16]",0.6496815286624203
77,"[4, 11, 15]","[5, 6, 7, 9, 16]",0.7738853503184714
78,"[4, 11, 17]","[5, 6, 7, 9, 16]",0.5700636942675159
79,"[4, 13, 14]","[5, 6, 7, 9, 16]",0.7770700636942676
80,"[4, 13, 15]","[5, 6, 7, 9, 16]",0.8184713375796179
81,"[4, 13, 17]","[5, 6, 7, 9, 16]",0.7292993630573248
82,"[4, 14, 15]","[5, 6, 7, 9, 16]",0.7961783439490446
83,"[4, 14, 17]","[5, 6, 7, 9, 16]",0.7420382165605095
84,"[4, 15, 17]","[5, 6, 7, 9, 16]",0.7611464968152867
