,subjects_in_train,subjects_in_test,acc
0,"[2, 3, 4, 8, 10, 11, 13]","[5, 6, 7, 9, 16]",0.8694267515923567
1,"[2, 3, 4, 8, 10, 11, 14]","[5, 6, 7, 9, 16]",0.8375796178343949
2,"[2, 3, 4, 8, 10, 11, 15]","[5, 6, 7, 9, 16]",0.8949044585987261
3,"[2, 3, 4, 8, 10, 11, 17]","[5, 6, 7, 9, 16]",0.8184713375796179
4,"[2, 3, 4, 8, 10, 13, 14]","[5, 6, 7, 9, 16]",0.8535031847133758
5,"[2, 3, 4, 8, 10, 13, 15]","[5, 6, 7, 9, 16]",0.8726114649681529
6,"[2, 3, 4, 8, 10, 13, 17]","[5, 6, 7, 9, 16]",0.8503184713375797
7,"[2, 3, 4, 8, 10, 14, 15]","[5, 6, 7, 9, 16]",0.8662420382165605
8,"[2, 3, 4, 8, 10, 14, 17]","[5, 6, 7, 9, 16]",0.8535031847133758
9,"[2, 3, 4, 8, 10, 15, 17]","[5, 6, 7, 9, 16]",0.8630573248407644
10,"[2, 3, 4, 8, 11, 13, 14]","[5, 6, 7, 9, 16]",0.8248407643312102
11,"[2, 3, 4, 8, 11, 13, 15]","[5, 6, 7, 9, 16]",0.8757961783439491
12,"[2, 3, 4, 8, 11, 13, 17]","[5, 6, 7, 9, 16]",0.8343949044585988
13,"[2, 3, 4, 8, 11, 14, 15]","[5, 6, 7, 9, 16]",0.8757961783439491
14,"[2, 3, 4, 8, 11, 14, 17]","[5, 6, 7, 9, 16]",0.7579617834394905
15,"[2, 3, 4, 8, 11, 15, 17]","[5, 6, 7, 9, 16]",0.8471337579617835
16,"[2, 3, 4, 8, 13, 14, 15]","[5, 6, 7, 9, 16]",0.8407643312101911
17,"[2, 3, 4, 8, 13, 14, 17]","[5, 6, 7, 9, 16]",0.7993630573248408
18,"[2, 3, 4, 8, 13, 15, 17]","[5, 6, 7, 9, 16]",0.8503184713375797
19,"[2, 3, 4, 8, 14, 15, 17]","[5, 6, 7, 9, 16]",0.8152866242038217
20,"[2, 3, 4, 10, 11, 13, 14]","[5, 6, 7, 9, 16]",0.8152866242038217
21,"[2, 3, 4, 10, 11, 13, 15]","[5, 6, 7, 9, 16]",0.8726114649681529
22,"[2, 3, 4, 10, 11, 13, 17]","[5, 6, 7, 9, 16]",0.7929936305732485
23,"[2, 3, 4, 10, 11, 14, 15]","[5, 6, 7, 9, 16]",0.8757961783439491
24,"[2, 3, 4, 10, 11, 14, 17]","[5, 6, 7, 9, 16]",0.7834394904458599
25,"[2, 3, 4, 10, 11, 15, 17]","[5, 6, 7, 9, 16]",0.8439490445859873
26,"[2, 3, 4, 10, 13, 14, 15]","[5, 6, 7, 9, 16]",0.8343949044585988
27,"[2, 3, 4, 10, 13, 14, 17]","[5, 6, 7, 9, 16]",0.8089171974522293
28,"[2, 3, 4, 10, 13, 15, 17]","[5, 6, 7, 9, 16]",0.8471337579617835
29,"[2, 3, 4, 10, 14, 15, 17]","[5, 6, 7, 9, 16]",0.8152866242038217
30,"[2, 3, 4, 11, 13, 14, 15]","[5, 6, 7, 9, 16]",0.8089171974522293
31,"[2, 3, 4, 11, 13, 14, 17]","[5, 6, 7, 9, 16]",0.7802547770700637
32,"[2, 3, 4, 11, 13, 15, 17]","[5, 6, 7, 9, 16]",0.7961783439490446
33,"[2, 3, 4, 11, 14, 15, 17]","[5, 6, 7, 9, 16]",0.7770700636942676
34,"[2, 3, 4, 13, 14, 15, 17]","[5, 6, 7, 9, 16]",0.767515923566879
35,"[2, 3, 8, 10, 11, 13, 14]","[5, 6, 7, 9, 16]",0.8248407643312102
36,"[2, 3, 8, 10, 11, 13, 15]","[5, 6, 7, 9, 16]",0.8757961783439491
37,"[2, 3, 8, 10, 11, 13, 17]","[5, 6, 7, 9, 16]",0.8471337579617835
38,"[2, 3, 8, 10, 11, 14, 15]","[5, 6, 7, 9, 16]",0.8503184713375797
39,"[2, 3, 8, 10, 11, 14, 17]","[5, 6, 7, 9, 16]",0.8248407643312102
40,"[2, 3, 8, 10, 11, 15, 17]","[5, 6, 7, 9, 16]",0.8598726114649682
41,"[2, 3, 8, 10, 13, 14, 15]","[5, 6, 7, 9, 16]",0.8662420382165605
42,"[2, 3, 8, 10, 13, 14, 17]","[5, 6, 7, 9, 16]",0.8407643312101911
43,"[2, 3, 8, 10, 13, 15, 17]","[5, 6, 7, 9, 16]",0.8407643312101911
44,"[2, 3, 8, 10, 14, 15, 17]","[5, 6, 7, 9, 16]",0.821656050955414
45,"[2, 3, 8, 11, 13, 14, 15]","[5, 6, 7, 9, 16]",0.8439490445859873
46,"[2, 3, 8, 11, 13, 14, 17]","[5, 6, 7, 9, 16]",0.8121019108280255
47,"[2, 3, 8, 11, 13, 15, 17]","[5, 6, 7, 9, 16]",0.8407643312101911
48,"[2, 3, 8, 11, 14, 15, 17]","[5, 6, 7, 9, 16]",0.802547770700637
49,"[2, 3, 8, 13, 14, 15, 17]","[5, 6, 7, 9, 16]",0.8407643312101911
50,"[2, 3, 10, 11, 13, 14, 15]","[5, 6, 7, 9, 16]",0.7802547770700637
51,"[2, 3, 10, 11, 13, 14, 17]","[5, 6, 7, 9, 16]",0.7961783439490446
52,"[2, 3, 10, 11, 13, 15, 17]","[5, 6, 7, 9, 16]",0.8121019108280255
53,"[2, 3, 10, 11, 14, 15, 17]","[5, 6, 7, 9, 16]",0.7611464968152867
54,"[2, 3, 10, 13, 14, 15, 17]","[5, 6, 7, 9, 16]",0.7993630573248408
55,"[2, 3, 11, 13, 14, 15, 17]","[5, 6, 7, 9, 16]",0.7834394904458599
56,"[2, 4, 8, 10, 11, 13, 14]","[5, 6, 7, 9, 16]",0.8407643312101911
57,"[2, 4, 8, 10, 11, 13, 15]","[5, 6, 7, 9, 16]",0.9044585987261147
58,"[2, 4, 8, 10, 11, 13, 17]","[5, 6, 7, 9, 16]",0.8375796178343949
59,"[2, 4, 8, 10, 11, 14, 15]","[5, 6, 7, 9, 16]",0.8980891719745223
60,"[2, 4, 8, 10, 11, 14, 17]","[5, 6, 7, 9, 16]",0.8057324840764332
61,"[2, 4, 8, 10, 11, 15, 17]","[5, 6, 7, 9, 16]",0.8471337579617835
62,"[2, 4, 8, 10, 13, 14, 15]","[5, 6, 7, 9, 16]",0.8694267515923567
63,"[2, 4, 8, 10, 13, 14, 17]","[5, 6, 7, 9, 16]",0.8503184713375797
64,"[2, 4, 8, 10, 13, 15, 17]","[5, 6, 7, 9, 16]",0.8757961783439491
65,"[2, 4, 8, 10, 14, 15, 17]","[5, 6, 7, 9, 16]",0.8885350318471338
